"","expression","localization","gene"
"1",0.00222414464311425,"Cell Junctions;Cytosol","ENSG00000000003"
"2",0.00032894309023079,NA,"ENSG00000000005"
"3",0.002952593517266,NA,"ENSG00000000419"
"4",0.00877595761616883,"Cytosol;Golgi apparatus","ENSG00000000457"
"5",0.0214546657081174,"Mitochondria","ENSG00000000460"
"6",0.00350678762410903,"Plasma membrane","ENSG00000000938"
"7",0.00317026187607439,"Vesicles","ENSG00000000971"
"8",0.00222589692333641,NA,"ENSG00000001036"
"9",0.000683480518900384,"Nucleoplasm","ENSG00000001084"
"10",0.0029196867974324,"Nucleoplasm","ENSG00000001167"
"11",0.00416561192881711,"Nucleoplasm","ENSG00000001460"
"12",0.00349133337509807,"Nucleoplasm","ENSG00000001461"
"13",0.00554753856786151,"Nucleoplasm","ENSG00000001497"
"14",0.00411348155759938,NA,"ENSG00000001561"
"15",0.00032242695145669,NA,"ENSG00000001617"
"16",0.00158240148730145,NA,"ENSG00000001626"
"17",0.00554660281774573,"Cytosol;Plasma membrane","ENSG00000001629"
"18",0.00246251085391446,"Endoplasmic reticulum","ENSG00000001630"
"19",0.00878659780494497,"Vesicles","ENSG00000001631"
"20",0.00849651571647069,"Nuclear speckles","ENSG00000002016"
"21",0.000409513430353524,"Mitochondria","ENSG00000002330"
"22",0.00294410093756559,"Cytosol","ENSG00000002549"
"23",0.00269987081737177,"Golgi apparatus","ENSG00000002586"
"24",0.00135052905345082,"Vesicles","ENSG00000002587"
"25",0.000357067361501398,NA,"ENSG00000002726"
"26",9.47450286979163e-05,NA,"ENSG00000002745"
"27",0.00368452426578799,"Cytosol;Nucleoli fibrillar center","ENSG00000002746"
"28",0.00301535077668124,"Nuclear membrane;Nucleoplasm","ENSG00000002822"
"29",0.000874069599223286,"Cytosol;Plasma membrane","ENSG00000002834"
"30",0.00103580774036993,"Endoplasmic reticulum","ENSG00000002919"
"31",0.00177440238834386,"Mitochondria","ENSG00000002933"
"32",0.00394615779100022,NA,"ENSG00000003056"
"33",0.0071894941210444,"Cytosol","ENSG00000003096"
"34",0.00369176505799573,"Cytosol","ENSG00000003137"
"35",0.00264170491683978,"Cytosol;Vesicles","ENSG00000003147"
"36",0.000667654015433673,"Nuclear speckles","ENSG00000003249"
"37",0.018520354848755,"Cytosol;Vesicles","ENSG00000003393"
"38",0.000346092477368278,"Golgi apparatus","ENSG00000003400"
"39",0.00193864456633987,"Cytosol;Nucleoplasm;Plasma membrane","ENSG00000003402"
"40",0.00431665612745526,NA,"ENSG00000003436"
"41",0.00768724839211411,NA,"ENSG00000003509"
"42",0.0203367163419988,"Nucleoplasm","ENSG00000003756"
"43",0.0143142323194317,"Cytosol;Nucleoplasm","ENSG00000003987"
"44",0.00868219392936779,"Plasma membrane","ENSG00000003989"
"45",0.0013604325914073,NA,"ENSG00000004059"
"46",0.00409705886171861,"Mitochondria","ENSG00000004139"
"47",0.00370396165061737,"Mitochondria","ENSG00000004142"
"48",0.00289211945972685,NA,"ENSG00000004399"
"49",0.00253920339175506,"Mitochondria","ENSG00000004455"
"50",0.00647539448074129,"Plasma membrane","ENSG00000004468"
"51",0.00100570086645585,"Cytosol","ENSG00000004478"
"52",0.0339381007229574,"Nucleoplasm","ENSG00000004487"
"53",0.0111262288296143,"Nuclear speckles","ENSG00000004534"
"54",0.00403834951066859,"Cytosol","ENSG00000004660"
"55",0.00104550815304709,"Nucleoplasm","ENSG00000004700"
"56",0.00720181542599224,"Cytosol","ENSG00000004766"
"57",0.00523286407693797,"Cytosol;Mitochondria","ENSG00000004776"
"58",0.0505616954328125,"Plasma membrane","ENSG00000004777"
"59",0.00329554654160208,"Mitochondria","ENSG00000004779"
"60",0.00270437772425984,NA,"ENSG00000004799"
"61",0.00829030788454132,"Cytosol;Plasma membrane","ENSG00000004809"
"62",0.0465643491296418,"Plasma membrane","ENSG00000004838"
"63",0.00878930852332274,NA,"ENSG00000004846"
"64",0.0057094658693943,NA,"ENSG00000004848"
"65",0.00552732397587485,"Mitochondria","ENSG00000004864"
"66",0.0145525013076664,"Nucleoplasm","ENSG00000004866"
"67",0.00952838980838477,"Nucleoplasm","ENSG00000004897"
"68",0.00318694899805443,NA,"ENSG00000004939"
