"","gene","walktrapCluster","geneSymbol"
"2","ENSG00000091831","7;5;25;1;6","ESR1"
"3","ENSG00000124422","7;5;11;1;7","USP22"
"4","ENSG00000130175","5;5;14;3;1","PRKCSH"
"5","ENSG00000137312","5;8;9;3;4","FLOT1"
"6","ENSG00000167131","7;49;1;2;2","CCDC103"
"7","ENSG00000115145","7;2;3;2;2","STAM2"
"8","ENSG00000254093","12;4;2;1;1","PINX1"
"9","ENSG00000168610","5;7;4;2;1","STAT3"
"10","ENSG00000140941","7;5;17;2;2","MAP1LC3B"
"11","ENSG00000076003","19;3;2;2;3","MCM6"
"12","ENSG00000106852","5;1;1;2;4","LHX6"
"13","ENSG00000147257","5;5;6;3;2","GPC3"
"14","ENSG00000004897","21;1;1;1;1","CDC27"
"15","ENSG00000100532","7;22;3;2","CGRRF1"
"16","ENSG00000144724","5;8;1;12;1","PTPRG"
"17","ENSG00000142405","5;7;1;3;3","NLRP12"
"18","ENSG00000154710","7;5;1;5;7","RABGEF1"
"19","ENSG00000143436","12;3;1;1;1","MRPL9"
"20","ENSG00000141934","5;3;53;3;2","PLPP2"
"21","ENSG00000157227","5;5;1;13;5","MMP14"
"22","ENSG00000100109","12;5;1;1;3","TFIP11"
"23","ENSG00000120925","7;22;3;2","RNF170"
"26","ENSG00000142686","7;5;1;13;4","C1orf216"
"27","ENSG00000172531","7;5;28;5","PPP1CA"
"28","ENSG00000197837","19;1;5;2;2","H4-16"
"29","ENSG00000142627","5;8;7;3;1","EPHA2"
"30","ENSG00000128342","5;7;4;2;1","LIF"
"31","ENSG00000163884","12;3;1;1;2","KLF15"
"32","ENSG00000140575","5;8;9;3;4","IQGAP1"
"34","ENSG00000112695","2;1;2;3;2","COX7A2"
"35","ENSG00000111530","7;5;11;1;1","CAND1"
"36","ENSG00000074319","7;5;11;1;3","TSG101"
"37","ENSG00000196391","7;3;11;6;2","ZNF774"
"38","ENSG00000275714","19;1;5;1;1","H3C1"
"39","ENSG00000127334","7;5;23;7;5","DYRK2"
"40","ENSG00000132507","12;3;3;1;1","EIF5A"
"41","ENSG00000173801","7;5;23;50","JUP"
"42","ENSG00000100216","2;1;1;4;2","TOMM22"
"43","ENSG00000173517","5;8;1;3;3","PEAK1"
"44","ENSG00000135482","7;3;11;1;5","ZC3H10"
"45","ENSG00000124181","5;8;1;3;3","PLCG1"
"46","ENSG00000118579","19;2;2;2;1","MED28"
"47","ENSG00000185002","5;1;1;3;2","RFX6"
"48","ENSG00000111897","5;3;4;4;2","SERINC1"
"50","ENSG00000113580","5;7;1;5;2","NR3C1"
"51","ENSG00000142949","5;8;1;12;1","PTPRF"
"52","ENSG00000157933","7;5;25;10;1","SKI"
"53","ENSG00000100629","7;29;2;2;3","CEP128"
"54","ENSG00000123240","7;5;17;2;2","OPTN"
"55","ENSG00000136436","7;5;17;2;2","CALCOCO2"
"56","ENSG00000244537","3;1;1;1;1","KRTAP4-2"
"57","ENSG00000146648","5;8;1;3;1","EGFR"
"58","ENSG00000185359","7;2;3;2;2","HGS"
"59","ENSG00000237763","5;5;2;3;3","AMY1A"
"60","ENSG00000130037","12;3;3;1;1","KCNA5"
"61","ENSG00000278619","12;4;7;2","MRM1"
"62","ENSG00000198919","21;1;1;1;1","DZIP3"
"63","ENSG00000155875","7;3;11;1;3","SAXO1"
"64","ENSG00000165629","2;1;2;3;3","ATP5F1C"
"65","ENSG00000105438","7;2;2;1;1","KDELR1"
"66","ENSG00000082512","5;7;1;1;2","TRAF5"
"67","ENSG00000167110","7;5;1;5;6","GOLGA2"
"68","ENSG00000204889","9;3;2","KRT40"
"70","ENSG00000011600","5;7;2;5;2","TYROBP"
"71","ENSG00000287080","19;1;5;1;1","H3C3"
"72","ENSG00000106683","5;8;4;2;1","LIMK1"
"74","ENSG00000005108","5;5;11;1;1","THSD7A"
"76","ENSG00000168899","7;2;1;1;2","VAMP5"
"77","ENSG00000049759","21;1;1;1;1","NEDD4L"
"78","ENSG00000116898","12;3;1;1;1","MRPS15"
"79","ENSG00000168884","7;5;11;1;5","TNIP2"
"80","ENSG00000161011","7;5;17;2;2","SQSTM1"
"81","ENSG00000077348","12;4;2;4;3","EXOSC5"
"82","ENSG00000164828","19;1;1","SUN1"
"83","ENSG00000012779","5;7;2;1;1","ALOX5"
"84","ENSG00000100258","7;3;82","LMF2"
"85","ENSG00000165905","5;3;27;2;2","LARGE2"
"87","ENSG00000135679","7;5;25;1;8","MDM2"
"88","ENSG00000276966","19;1;5;2;2","H4C5"
"89","ENSG00000147677","12;3;3;1;1","EIF3H"
"90","ENSG00000188486","19;1;6;1;1","H2AX"
"91","ENSG00000121454","5;1;1;3;3","LHX4"
"92","ENSG00000145349","5;8;9;1;3","CAMK2D"
"93","ENSG00000139637","7;5;23;7;2","MYG1"
"94","ENSG00000058804","12;5;4;1;1","NDC1"
"95","ENSG00000185236","7;2;1;2;5","RAB11B"
"96","ENSG00000174446","19;2;4;1;1","SNAPC5"
"97","ENSG00000105329","5;5;1;13;3","TGFB1"
"98","ENSG00000108654","12;2;4;1;1","DDX5"
"99","ENSG00000204569","7;5;28;7","PPP1R10"
"100","ENSG00000092820","5;8;1;10;1","EZR"
"101","ENSG00000185247","7;5;23;19","MAGEA11"
"103","ENSG00000196396","5;7;4;2;1","PTPN1"
"104","ENSG00000172530","7;3;11;1;2","BANP"
"105","ENSG00000099942","5;8;1;3;3","CRKL"
"106","ENSG00000120885","5;5;14;5;2","CLU"
"107","ENSG00000250506","19;3;2;2;1","CDK3"
"108","ENSG00000198890","12;4;2;1;1","PRMT6"
"109","ENSG00000101557","7;22;4;1;1","USP14"
"110","ENSG00000278637","19;1;5;2;2","H4C1"
"111","ENSG00000116455","12;5;2;5","WDR77"
"112","ENSG00000149273","12;3;3;1;1","RPS3"
"113","ENSG00000100151","7;3;11;6;2","PICK1"
"114","ENSG00000167461","7;2;1;2;5","RAB8A"
"115","ENSG00000113916","5;7;2;4;1","BCL6"
"116","ENSG00000129083","7;2;2;1;1","COPB1"
"117","ENSG00000132326","7;5;6;6","PER2"
"118","ENSG00000152061","7;2;1;5;1","RABGAP1L"
"119","ENSG00000065427","12;3;2;2;1","KARS1"
"120","ENSG00000123297","12;3;1;1;1","TSFM"
"121","ENSG00000175455","7;29;2;2;1","CCDC14"
"122","ENSG00000106144","7;5;17;1;4","CASP2"
"123","ENSG00000131759","7;5;6;1;2","RARA"
"124","ENSG00000121691","2;2;1;2","CAT"
"125","ENSG00000166848","19;1;1","TERF2IP"
"126","ENSG00000103202","7;3;11;6;2","NME4"
"127","ENSG00000151650","9;2;2","VENTX"
"128","ENSG00000163041","19;1;5;2;1","H3-3A"
"129","ENSG00000152291","7;2;1;2;5","TGOLN2"
"130","ENSG00000170540","5;3;11;2;10","ARL6IP1"
"131","ENSG00000090273","7;5;23;9;1","NUDC"
"132","ENSG00000088247","12;5;3;2;3","KHSRP"
"133","ENSG00000163320","7;5;23;22","CGGBP1"
"134","ENSG00000050820","5;8;1;12;1","BCAR1"
"135","ENSG00000127191","7;5;11;1;5","TRAF2"
"136","ENSG00000119638","7;29;1;2","NEK9"
"137","ENSG00000170759","7;2;2;1;1","KIF5B"
"138","ENSG00000277586","5;10;6;2;2","NEFL"
"139","ENSG00000171772","19;1;1","SYCE1"
"141","ENSG00000143811","7;5;5;5;3","PYCR2"
"142","ENSG00000278259","5;8;9;3;4","MYO19"
"143","ENSG00000186184","12;4;2;1;1","POLR1D"
"144","ENSG00000175387","7;5;25;10;1","SMAD2"
"145","ENSG00000137486","4;1;1;1;1","ARRB1"
"147","ENSG00000182173","12;2;9","TSEN54"
"148","ENSG00000141012","5;5;5;2;1","GALNS"
"149","ENSG00000127824","7;29;2;3;1","TUBA4A"
"150","ENSG00000167986","7;5;11;1;1","DDB1"
"151","ENSG00000137992","2;2;3;3","DBT"
"152","ENSG00000206075","5;7;2;4;4","SERPINB5"
"153","ENSG00000115507","9;2;2","OTX1"
"154","ENSG00000105426","5;8;1;19","PTPRS"
"155","ENSG00000129355","7;3;11;6;2","CDKN2D"
"157","ENSG00000068078","7;5;11;5;3","FGFR3"
"158","ENSG00000168488","12;2;4;1;2","ATXN2L"
"160","ENSG00000108406","12;2;4;4;3","DHX40"
"161","ENSG00000138829","5;5;1;13;3","FBN2"
"162","ENSG00000112584","19;2;2;2;1","FAM120B"
"163","ENSG00000198830","19;1;5;2;1","HMGN2"
"164","ENSG00000180900","5;8;1;10;2","SCRIB"
"165","ENSG00000170365","7;5;25;10;1","SMAD1"
"166","ENSG00000132906","5;7;1;1;4","CASP9"
"167","ENSG00000157654","5;8;9;3;4","PALM2AKAP2"
"168","ENSG00000162542","5;3;48","TMCO4"
"169","ENSG00000068024","19;1;2;4;3","HDAC4"
"170","ENSG00000162777","7;5;23;8;2","DENND2D"
"171","ENSG00000067704","12;3;2;2;1","IARS2"
"172","ENSG00000197079","9;3;3;1;1","KRT35"
"173","ENSG00000164080","7;5;6;2;2","RAD54L2"
"174","ENSG00000254997","3;1;1;1;1","KRTAP5-9"
"175","ENSG00000074696","7;5;23;17;4","HACD3"
"176","ENSG00000174307","7;5;23;17;4","PHLDA3"
"178","ENSG00000110955","2;1;1;4;2","ATP5F1B"
"179","ENSG00000168090","7;5;11;1;1","COPS6"
"180","ENSG00000116161","7;5;23;9;4","CACYBP"
"181","ENSG00000143226","5;7;2;4;1","FCGR2A"
"182","ENSG00000070814","7;5;11;1;1","TCOF1"
"184","ENSG00000147140","12;5;3;2;3","NONO"
"185","ENSG00000213390","5;8;4;2;1","ARHGAP19"
"186","ENSG00000133794","7;5;6;6","ARNTL"
"187","ENSG00000168028","12;3;3;1;1","RPSA"
"188","ENSG00000107295","7;2;3;2;2","SH3GL2"
"189","ENSG00000083799","5;7;1;1;1","CYLD"
"190","ENSG00000087365","12;5;1;1;2","SF3B2"
"191","ENSG00000054654","19;1;1","SYNE2"
"192","ENSG00000135972","12;3;1;1;2","MRPS9"
"193","ENSG00000047410","12;5;4;1;1","TPR"
"194","ENSG00000174015","7;3;11;6;2","CBY2"
"195","ENSG00000115414","5;5;1;13;3","FN1"
"196","ENSG00000132694","5;8;4;2;1","ARHGEF11"
"197","ENSG00000164924","7;5;1;13;7","YWHAZ"
"198","ENSG00000077514","19;3;1;2;2","POLD3"
"199","ENSG00000196923","5;8;9;3;1","PDLIM7"
"201","ENSG00000149380","5;5;12;1;2","P4HA3"
"202","ENSG00000138594","5;8;10;1;2","TMOD3"
"203","ENSG00000099282","5;3;4;16","TSPAN15"
"204","ENSG00000158545","12;5;3;1;2","ZC3H18"
"205","ENSG00000152795","12;5;3;2;2","HNRNPDL"
"206","ENSG00000186298","7;5;28;5","PPP1CC"
"207","ENSG00000157106","12;3;3;1;1","SMG1"
"208","ENSG00000186628","7;3;11;6;2","FSD2"
"209","ENSG00000136933","7;2;1;2;6","RABEPK"
"210","ENSG00000166333","7;5;23;7;5","ILK"
"211","ENSG00000165916","7;22;4;1;1","PSMC3"
"212","ENSG00000100350","5;5;1;7;2","FOXRED2"
"213","ENSG00000213585","2;1;1;4;3","VDAC1"
"214","ENSG00000164597","7;2;2;2;2","COG5"
"215","ENSG00000109971","7;5;23;7;1","HSPA8"
"216","ENSG00000170310","7;2;1;1;2","STX8"
"217","ENSG00000161798","5;5;30","AQP5"
"218","ENSG00000048828","12;2;4;1;1","FAM120A"
"219","ENSG00000166136","2;1;2;1;2","NDUFB8"
"220","ENSG00000169714","12;4;3;4;4","CNBP"
"221","ENSG00000168398","13;2;4;1;1","BDKRB2"
"222","ENSG00000182944","12;5;3;2;3","EWSR1"
"223","ENSG00000179151","12;2;3;2","EDC3"
"225","ENSG00000197191","9;2;1;5","CYSRT1"
"226","ENSG00000243927","12;3;1;1;1","MRPS6"
"227","ENSG00000123154","12;5;1;2;1","WDR83"
"228","ENSG00000136997","7;5;23;7;5","MYC"
"229","ENSG00000165416","7;5;23;9;1","SUGT1"
"230","ENSG00000171105","5;8;1;3;3","INSR"
"231","ENSG00000119396","7;2;1;2;5","RAB14"
"232","ENSG00000115053","12;2;4;1;4","NCL"
"233","ENSG00000121858","5;7;1;1;4","TNFSF10"
"234","ENSG00000119414","7;5;28;3;1","PPP6C"
"235","ENSG00000005007","12;2;4;1;4","UPF1"
"236","ENSG00000100519","7;22;4;1;1","PSMC6"
"237","ENSG00000142168","7;5;23;7;1","SOD1"
