"","diseaseId","targetId","datatypeId","datasourceId","score","evidenceCount"
"446529","MONDO_0006037","ENSG00000074047","literature","europepmc",0.02431723,1
"446530","MONDO_0006037","ENSG00000100578","literature","europepmc",0.02127758,2
"446531","MONDO_0006037","ENSG00000106571","literature","europepmc",0.01215862,1
"453550","MONDO_0006037","ENSG00000110060","genetic_association","eva",0.7181742,17
"555643","MONDO_0008708","ENSG00000005381","literature","europepmc",0.06079308,1
"555644","MONDO_0008708","ENSG00000006062","literature","europepmc",0.01823792,1
"555645","MONDO_0008708","ENSG00000006625","literature","europepmc",0.01823792,1
"555646","MONDO_0008708","ENSG00000007171","literature","europepmc",0.0395155,2
"555647","MONDO_0008708","ENSG00000007350","literature","europepmc",0.04255516,1
"555648","MONDO_0008708","ENSG00000010610","literature","europepmc",0.1926135,8
"555649","MONDO_0008708","ENSG00000011465","literature","europepmc",0.1465367,4
"555650","MONDO_0008708","ENSG00000017427","literature","europepmc",0.04255516,1
"555651","MONDO_0008708","ENSG00000026025","literature","europepmc",0.01823792,1
"555652","MONDO_0008708","ENSG00000026508","literature","europepmc",0.01215862,1
"555653","MONDO_0008708","ENSG00000038427","literature","europepmc",0.1094275,1
"555654","MONDO_0008708","ENSG00000041982","literature","europepmc",0.03647585,2
"555655","MONDO_0008708","ENSG00000049540","literature","europepmc",0.2553309,2
"555656","MONDO_0008708","ENSG00000064012","literature","europepmc",0.01823792,1
"555657","MONDO_0008708","ENSG00000066230","literature","europepmc",0.01823792,1
"555658","MONDO_0008708","ENSG00000072274","literature","europepmc",0.03647585,1
"555659","MONDO_0008708","ENSG00000074181","literature","europepmc",0.01823792,1
"555660","MONDO_0008708","ENSG00000075624","literature","europepmc",0.03495602,2
"555661","MONDO_0008708","ENSG00000076984","literature","europepmc",0.01823792,1
"555662","MONDO_0008708","ENSG00000083444","literature","europepmc",0.02887671,2
"555663","MONDO_0008708","ENSG00000087245","literature","europepmc",0.04002211,3
"555664","MONDO_0008708","ENSG00000089220","literature","europepmc",0.09118962,1
"555665","MONDO_0008708","ENSG00000091137","literature","europepmc",0.01823792,1
"555666","MONDO_0008708","ENSG00000091583","literature","europepmc",0.1787265,65
"555667","MONDO_0008708","ENSG00000091831","literature","europepmc",0.02262854,3
"555668","MONDO_0008708","ENSG00000096717","literature","europepmc",0.01215862,1
"555669","MONDO_0008708","ENSG00000099953","literature","europepmc",0.03039654,1
"555670","MONDO_0008708","ENSG00000100226","literature","europepmc",0.03647585,1
"555671","MONDO_0008708","ENSG00000100644","literature","europepmc",0.073639,5
"555672","MONDO_0008708","ENSG00000100813","literature","europepmc",0.01215862,1
"555673","MONDO_0008708","ENSG00000101004","literature","europepmc",0.01215862,1
"555674","MONDO_0008708","ENSG00000101144","literature","europepmc",0.01823792,1
"555675","MONDO_0008708","ENSG00000102245","literature","europepmc",0.2670172,126
"555676","MONDO_0008708","ENSG00000102265","literature","europepmc",0.1985842,8
"555677","MONDO_0008708","ENSG00000102882","literature","europepmc",0.03647585,1
"555678","MONDO_0008708","ENSG00000104044","literature","europepmc",0.01823792,1
"555679","MONDO_0008708","ENSG00000104689","literature","europepmc",0.01823792,1
"555680","MONDO_0008708","ENSG00000104852","literature","europepmc",0.01823792,1
"555681","MONDO_0008708","ENSG00000104921","literature","europepmc",0.03647585,1
"555682","MONDO_0008708","ENSG00000105329","literature","europepmc",0.3401204,12
"555683","MONDO_0008708","ENSG00000105369","literature","europepmc",0.3133048,38
"555684","MONDO_0008708","ENSG00000105388","literature","europepmc",0.02431723,1
"555685","MONDO_0008708","ENSG00000105664","literature","europepmc",0.1874453,3
"555686","MONDO_0008708","ENSG00000106211","literature","europepmc",0.01823792,1
"555687","MONDO_0008708","ENSG00000106366","literature","europepmc",0.03039654,1
